cancion,artista,playlist,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,Lista Rep,liked
Immortal Rites,Morbid Angel,4tszLL7NTfLCoIz39Zsiy1,5hmek3mrSYvfSElBsPNbxo,0.19,0.934,1,-7.796,0.056,8.08e-06,0.107,0.363,0.36,Death Metal,1
Chopped in Half,Obituary,4tszLL7NTfLCoIz39Zsiy1,01cGujYWGF7JchJLSgf6Ta,0.257,0.989,10,-5.918,0.0867,6.72e-06,0.521,0.263,0.385,Death Metal,1
Left Hand Path,Entombed,4tszLL7NTfLCoIz39Zsiy1,5faD0zZ9fMa3J5ZN3lIWtp,0.166,0.927,7,-8.797,0.0736,3.94e-06,0.651,0.344,0.219,Death Metal,1
Pull the Plug,Death,4tszLL7NTfLCoIz39Zsiy1,2l0h4aBFLp9HdoaNdCTlbW,0.226,0.978,9,-5.729,0.209,3.6e-06,0.533,0.0436,0.242,Death Metal,1
Into The Grave,Grave,4tszLL7NTfLCoIz39Zsiy1,4bAIIhqJeOTDcyeo1GvIMo,0.295,0.915,1,-6.968,0.0954,3.28e-06,0.91,0.0772,0.343,Death Metal,1
Slowly We Rot,Obituary,4tszLL7NTfLCoIz39Zsiy1,5F6ZrWLngDICyjazxM1gNq,0.275,0.947,0,-6.696,0.0835,1.08e-05,0.00968,0.124,0.0835,Death Metal,1
Crystal Mountain,Death,4tszLL7NTfLCoIz39Zsiy1,0ItAcLSkUiePOmFGun3cSe,0.261,0.979,7,-6.218,0.221,4.48e-05,0.0014,0.374,0.362,Death Metal,1
Once Upon the Cross,Deicide,4tszLL7NTfLCoIz39Zsiy1,3fsOBwBwxBB4j1IFhh3s9V,0.205,0.95,10,-8.498,0.132,1.93e-05,0.805,0.212,0.314,Death Metal,1
Before the Creation of Time,Unleashed,4tszLL7NTfLCoIz39Zsiy1,1SvsK5tkR5R73DOAcsW8wz,0.265,0.944,6,-10.365,0.0598,5.78e-05,0.0243,0.492,0.397,Death Metal,1
Chapel of Ghouls,Morbid Angel,4tszLL7NTfLCoIz39Zsiy1,7jok5zvxnrQuK2N7psZHyN,0.177,0.965,4,-7.14,0.0809,3.29e-06,0.548,0.11,0.203,Death Metal,1
Redneck Stomp,Obituary,4tszLL7NTfLCoIz39Zsiy1,2fSYadDsbWMtIVqX7flKIc,0.245,0.861,2,-8.728,0.0415,0.000256,0.871,0.216,0.483,Death Metal,1
Pierced from Within,Suffocation,4tszLL7NTfLCoIz39Zsiy1,6Z2McHf57ikVCiAkWvicg1,0.324,0.837,10,-10.142,0.101,1.83e-06,0.944,0.0882,0.635,Death Metal,1
Hammer Smashed Face,Cannibal Corpse,4tszLL7NTfLCoIz39Zsiy1,4pFC6tuWErxbO61oFFq3BQ,0.357,0.98,6,-6.835,0.079,5.22e-05,0.843,0.0768,0.368,Death Metal,1
Symbolic,Death,4tszLL7NTfLCoIz39Zsiy1,0dpFb4qv92TE9R00Lq4SAW,0.364,0.982,6,-7.034,0.195,6.65e-05,0.0124,0.163,0.127,Death Metal,1
Fear Of Napalm,Terrorizer,4tszLL7NTfLCoIz39Zsiy1,3dfO5e6kvudYYQwWiLbBoo,0.219,0.94,2,-14.888,0.0569,1.06e-05,0.939,0.348,0.164,Death Metal,1
Suffer The Children,Napalm Death,4tszLL7NTfLCoIz39Zsiy1,5oIHVkR1P4y277ftTPLpWj,0.289,0.887,1,-14.387,0.0963,5.03e-06,0.861,0.293,0.478,Death Metal,1
Maze of Torment,Morbid Angel,4tszLL7NTfLCoIz39Zsiy1,7t5riom6kdqXkb1VzTlAaH,0.201,0.98,8,-6.507,0.125,5.71e-06,0.163,0.119,0.0958,Death Metal,1
Twisted Truth,Pestilence,4tszLL7NTfLCoIz39Zsiy1,233N4WwgPBme5byY33723f,0.304,0.976,10,-5.41,0.114,4.05e-05,0.477,0.275,0.204,Death Metal,1
Spirit Crusher,Death,4tszLL7NTfLCoIz39Zsiy1,3sSonVXqDeoEFj2lM7mpYT,0.289,0.968,2,-4.049,0.15,4.66e-05,0.0163,0.0569,0.284,Death Metal,1
Sacrificial Suicide,Deicide,4tszLL7NTfLCoIz39Zsiy1,2kW45RgvG6cGkyAfq9ZlsZ,0.315,0.993,4,-5.458,0.209,0.000165,0.00359,0.0714,0.0371,Death Metal,1
Override Of The Overture,Dismember,4tszLL7NTfLCoIz39Zsiy1,52EJuzU66QlmlpMD88dWEm,0.172,0.982,1,-5.664,0.186,2.58e-06,0.813,0.401,0.105,Death Metal,1
The Exorcist,Possessed,4tszLL7NTfLCoIz39Zsiy1,5XnyWvKPVgJsVKmUjFbMv3,0.118,0.982,10,-5.349,0.231,2.26e-05,0.253,0.22,0.0345,Death Metal,1
Fall from Grace,Morbid Angel,4tszLL7NTfLCoIz39Zsiy1,4swUCr7TH4vP1WYD8ohygv,0.348,0.867,4,-8.271,0.0566,0.000123,0.038,0.564,0.471,Death Metal,1
I Cum Blood,Cannibal Corpse,4tszLL7NTfLCoIz39Zsiy1,3bQoMbPYOvvseHaSOWAQ3Q,0.338,0.988,8,-7.29,0.0865,8.35e-05,0.833,0.0377,0.449,Death Metal,1
Dead by Dawn,Deicide,4tszLL7NTfLCoIz39Zsiy1,5316Jxdg95Bt9VeGuioYuf,0.248,0.993,11,-4.907,0.189,5.66e-05,0.0209,0.0978,0.0998,Death Metal,1
Spiritual Healing,Death,4tszLL7NTfLCoIz39Zsiy1,7lylZyx3PtBVq9YpioPVMD,0.343,0.942,0,-4.756,0.0866,2.63e-05,0.0136,0.0701,0.369,Death Metal,1
Liege of Inveracity,Suffocation,4tszLL7NTfLCoIz39Zsiy1,7qvTHdpc9qu4TMPur5vs9w,0.313,0.931,1,-7.951,0.113,8.67e-05,0.919,0.176,0.405,Death Metal,1
Graves of the Fathers,Cryptopsy,4tszLL7NTfLCoIz39Zsiy1,774kFk9YCPyTYR7sSIDqum,0.261,0.982,7,-4.499,0.202,4.63e-06,0.856,0.24,0.292,Death Metal,1
Stiff and Cold,Gorguts,4tszLL7NTfLCoIz39Zsiy1,4RWI06gvNPqEwnPNcMINK8,0.232,0.964,1,-8.173,0.122,1.15e-05,0.654,0.297,0.22,Death Metal,1
Premature Burial,Malevolent Creation,4tszLL7NTfLCoIz39Zsiy1,45QRBDrfLXVvJn2VeGPQCn,0.393,0.913,9,-10.955,0.072,0.00036,0.0444,0.146,0.182,Death Metal,1
Revel In Flesh,Entombed,4tszLL7NTfLCoIz39Zsiy1,48zi76YORvpiYO67liH70R,0.137,0.948,7,-7.632,0.102,2.97e-06,0.509,0.335,0.305,Death Metal,1
Leprosy,Death,4tszLL7NTfLCoIz39Zsiy1,6QzjXmQ1mHNYHrwNurA9vJ,0.222,0.985,10,-5.484,0.136,1.97e-06,0.109,0.0592,0.0984,Death Metal,1
Arise,Sepultura,4tszLL7NTfLCoIz39Zsiy1,1erRDf98WX0VllciGPYO1H,0.372,0.961,9,-6.765,0.0931,1.52e-05,0.0548,0.0916,0.159,Death Metal,1
Out of the Body,Pestilence,4tszLL7NTfLCoIz39Zsiy1,0a2gTb30JwuM8Gi04u8rNo,0.306,0.989,2,-5.087,0.109,3.95e-05,0.00041,0.27,0.134,Death Metal,1
The IVth Crusade,Bolt Thrower,4tszLL7NTfLCoIz39Zsiy1,00nhkvorbdardFjuIi2OOo,0.153,0.783,1,-10.76,0.066,0.0,0.922,0.102,0.109,Death Metal,1
Drowned,Entombed,4tszLL7NTfLCoIz39Zsiy1,74sEzDFrgGFxaM7xrEyOkG,0.166,0.931,1,-7.042,0.0832,4.23e-06,0.171,0.276,0.236,Death Metal,1
Death Metal,Possessed,4tszLL7NTfLCoIz39Zsiy1,4BIxY4hmAvaJJBqGGxfHdJ,0.204,0.989,11,-4.866,0.103,3.76e-05,0.000466,0.112,0.0312,Death Metal,1
Dawn of Eternity,Massacre,4tszLL7NTfLCoIz39Zsiy1,6DRU8rSgDGMSapAZNLnI8D,0.323,0.974,10,-9.977,0.139,0.000356,0.553,0.155,0.146,Death Metal,1
For Victory,Bolt Thrower,4tszLL7NTfLCoIz39Zsiy1,5ZZqPBNUHwGYVKS6ucjjNH,0.129,0.952,8,-7.295,0.0959,1.58e-06,0.827,0.0317,0.0808,Death Metal,1
Lake of Fire,Nocturnus,4tszLL7NTfLCoIz39Zsiy1,1s9autQDbj0PrW9EZpGFJB,0.233,0.959,11,-12.165,0.323,8.51e-05,0.283,0.0589,0.036,Death Metal,1
Into Everlasting Fire,Immolation,4tszLL7NTfLCoIz39Zsiy1,1YBsbab9FvYJiTjELEEIYA,0.213,0.903,1,-12.154,0.112,4.95e-05,0.842,0.151,0.265,Death Metal,1
Mother Man,Atheist,4tszLL7NTfLCoIz39Zsiy1,0TjWvMNz5uKHpqKKr2Evua,0.292,0.869,11,-8.986,0.0653,1.51e-05,0.764,0.0801,0.468,Death Metal,1
Soulless - remastered 2003,Grave,4tszLL7NTfLCoIz39Zsiy1,3JAdICKvCLPmbtKyufmHhM,0.346,0.911,7,-4.946,0.119,3.01e-06,0.193,0.0654,0.251,Death Metal,1
From Beyond,Massacre,4tszLL7NTfLCoIz39Zsiy1,1XM1xWWhp0PvgAb9PthNPd,0.284,0.967,3,-9.553,0.132,0.000163,0.911,0.275,0.175,Death Metal,1
Piece of Time,Atheist,4tszLL7NTfLCoIz39Zsiy1,6AJE8W6CbGorvhuX32TOfy,0.174,0.972,9,-8.831,0.387,2.46e-05,0.0534,0.356,0.184,Death Metal,1
Cryptic Realms,Massacre,4tszLL7NTfLCoIz39Zsiy1,5OdWDaQELxXlOvu3prEb9W,0.296,0.859,10,-10.304,0.0867,8.92e-05,0.81,0.281,0.376,Death Metal,1
Breeding Death,Bloodbath,4tszLL7NTfLCoIz39Zsiy1,3G1QJ5yuNw385SULJFEjzJ,0.236,0.916,1,-7.586,0.0686,9.01e-06,0.0079,0.199,0.297,Death Metal,1
Furnace Funeral,Bloodbath,4tszLL7NTfLCoIz39Zsiy1,3KWXYiveuMHyGMOPQTdGbS,0.243,0.926,1,-7.867,0.06,3.47e-05,0.0399,0.154,0.166,Death Metal,1
Body Bag,Obituary,4tszLL7NTfLCoIz39Zsiy1,5oXLtUCb5sEXR1lCuc1HVP,0.312,0.988,9,-6.347,0.146,1.96e-05,0.0319,0.223,0.0487,Death Metal,1
Inner Self,Sepultura,4tszLL7NTfLCoIz39Zsiy1,3orEDNYiGeafDlFNSAZ2Lw,0.275,0.997,4,-5.216,0.0772,0.000164,0.0711,0.0737,0.0838,Death Metal,1
Sinners Bleed,Entombed,4tszLL7NTfLCoIz39Zsiy1,5GdYxhRkVCIwRyZoVKjrvX,0.17,0.944,7,-7.078,0.142,2.02e-06,0.751,0.0804,0.171,Death Metal,1
You'll Never See,Grave,4tszLL7NTfLCoIz39Zsiy1,6IADZk3d2snyZ02mg3217O,0.167,0.979,11,-4.677,0.128,2.97e-06,0.894,0.236,0.124,Death Metal,1
Pleasure to Kill,Kreator,4tszLL7NTfLCoIz39Zsiy1,5PFhkQbjJge1h8k7wE1K5U,0.265,0.941,11,-6.569,0.18,1.64e-05,0.0342,0.313,0.331,Death Metal,1
Infected,Obituary,4tszLL7NTfLCoIz39Zsiy1,2e83Z7NX9uVK6xtIcLNPT7,0.315,0.981,9,-5.868,0.164,0.000117,0.00685,0.639,0.0597,Death Metal,1
After World Obliteration,Terrorizer,4tszLL7NTfLCoIz39Zsiy1,1B3EH5RE7LhigcjdBhlY5F,0.23,0.985,2,-14.46,0.0855,3.03e-06,0.894,0.0949,0.0365,Death Metal,1
Pentagram,Possessed,4tszLL7NTfLCoIz39Zsiy1,5swTG5VU41Q7Bh4uriGjaM,0.109,0.985,1,-4.863,0.106,0.00105,0.0623,0.165,0.0344,Death Metal,1
Land of Tears,Pestilence,4tszLL7NTfLCoIz39Zsiy1,4rTtPgdATny6k1PC8SrxJG,0.272,0.985,1,-6.451,0.2,5.67e-06,0.245,0.12,0.112,Death Metal,1
Stench of Paradise Burning,Disincarnate,4tszLL7NTfLCoIz39Zsiy1,3ECuj3S0pDWrE4R046HeB5,0.139,0.953,8,-6.943,0.188,4.64e-06,0.692,0.0961,0.281,Death Metal,1
Who Will Be Not Be Dead,Seance,4tszLL7NTfLCoIz39Zsiy1,46NuBcPN0BlWKzj7ZOYybq,0.262,0.937,1,-7.237,0.107,2.75e-05,0.668,0.51,0.318,Death Metal,1
Dead Embryonic Cells,Sepultura,4tszLL7NTfLCoIz39Zsiy1,3erQAddOalef7tmVpAZ3BV,0.445,0.917,11,-6.776,0.0693,9.62e-06,0.175,0.108,0.439,Death Metal,1
Chronic Infection,Pestilence,4tszLL7NTfLCoIz39Zsiy1,1elixVStkMvEVgwlpGHkLu,0.255,0.994,2,-4.965,0.142,1.73e-05,0.00205,0.0737,0.0964,Death Metal,1
Eve of the Apocalypse,Malevolent Creation,4tszLL7NTfLCoIz39Zsiy1,6HAHmTe8oAi2AaKytaUliz,0.397,0.948,8,-10.405,0.081,0.000182,0.0536,0.0926,0.117,Death Metal,1
Dead Shall Rise,Terrorizer,4tszLL7NTfLCoIz39Zsiy1,1WreTPLpISl7eIoykT9Y43,0.28,0.937,2,-14.091,0.113,7.89e-06,0.871,0.105,0.0513,Death Metal,1
When the Sun Drank the Weight of Water,Demilich,4tszLL7NTfLCoIz39Zsiy1,0U6W8pajvbJhGSoCFnggWJ,0.179,0.936,2,-4.331,0.0827,0.000456,0.876,0.283,0.321,Death Metal,1
These Walls Shall Be Your Grave,Brutality,4tszLL7NTfLCoIz39Zsiy1,3EjNZuQqmUUuEEM1rXBxcn,0.225,0.952,11,-10.497,0.11,1.67e-05,0.928,0.349,0.136,Death Metal,1
Misanthrope,Death,4tszLL7NTfLCoIz39Zsiy1,1VzTXTV0LqoD8OJE14yD3E,0.39,0.988,7,-5.512,0.117,0.000223,0.00235,0.124,0.219,Death Metal,1
Jealousy,Death,4tszLL7NTfLCoIz39Zsiy1,3G68xDDkriZr1xSAhFWv3X,0.153,0.988,9,-5.106,0.211,3.03e-06,0.639,0.112,0.135,Death Metal,1
Flattening of Emotions,Death,4tszLL7NTfLCoIz39Zsiy1,1Qvdy7m0jSpVPQ3i6Vqvc3,0.389,0.902,1,-6.808,0.0975,1.57e-05,0.0725,0.05,0.322,Death Metal,1
See Through Dreams,Death,4tszLL7NTfLCoIz39Zsiy1,0Ol4yC4mvESix1mkYoSsI9,0.272,0.932,10,-5.546,0.17,1.59e-05,0.0265,0.508,0.472,Death Metal,1
Living Monstrosity,Death,4tszLL7NTfLCoIz39Zsiy1,6fTbZV7MNPMNpXzQMEcDZh,0.251,0.976,0,-4.359,0.168,3.8e-05,0.00171,0.0892,0.278,Death Metal,1
Left to Die,Death,4tszLL7NTfLCoIz39Zsiy1,0BO5g7FXNhZgQuC8xIORDm,0.281,0.977,10,-5.737,0.133,1.69e-06,0.0728,0.263,0.276,Death Metal,1
Infernal Death,Death,4tszLL7NTfLCoIz39Zsiy1,2kStAzBwEmYqwIRj2d8QkU,0.16,0.936,5,-5.933,0.0901,1.71e-06,0.695,0.0639,0.16,Death Metal,1
Zombie Ritual,Death,4tszLL7NTfLCoIz39Zsiy1,6SjRA2uuTOwXxErnp3SfDZ,0.221,0.941,2,-6.662,0.0788,1.41e-06,0.117,0.351,0.189,Death Metal,1
Evil Dead,Death,4tszLL7NTfLCoIz39Zsiy1,19fS3FJbmKvE6LVYVxSKZs,0.221,0.913,0,-5.578,0.0666,0.0,0.941,0.0464,0.0591,Death Metal,1
Dead but Dreaming,Deicide,4tszLL7NTfLCoIz39Zsiy1,2Zzv1jZsOeo9aLahsAWdrF,0.301,0.937,11,-7.529,0.0833,5.76e-06,0.255,0.138,0.433,Death Metal,1
Blaspherereion,Deicide,4tszLL7NTfLCoIz39Zsiy1,78F3P5j6pBli8hbYBNTbxS,0.235,0.997,11,-6.744,0.134,1.82e-05,0.042,0.0974,0.0372,Death Metal,1
Wolverine Blues,Entombed,4tszLL7NTfLCoIz39Zsiy1,6WBdwdLLif4kuG3s6ot8uB,0.348,0.973,10,-4.818,0.0716,0.000457,0.781,0.135,0.374,Death Metal,1
Slaughter of Innocence,Malevolent Creation,4tszLL7NTfLCoIz39Zsiy1,7aYLsLtbdjyCDKBI6VISU4,0.301,0.961,11,-9.456,0.161,8.32e-05,0.15,0.0786,0.236,Death Metal,1
Blessed Are The Sick / Leading the Rats,Morbid Angel,4tszLL7NTfLCoIz39Zsiy1,5tkcDYuFIbljBOCgj9Bcru,0.35,0.698,11,-8.993,0.052,0.00324,0.00159,0.103,0.221,Death Metal,1
"Stripped, Raped, And Strangled",Cannibal Corpse,4tszLL7NTfLCoIz39Zsiy1,1sWcWDgthOikmqaHdfTfW2,0.256,0.952,7,-8.631,0.103,2.19e-05,0.587,0.135,0.0724,Death Metal,1
Disembowel,Autopsy,4tszLL7NTfLCoIz39Zsiy1,2R7KEJHuuXyxN3Jsf77ayC,0.191,0.871,1,-7.987,0.081,4.56e-06,0.358,0.225,0.222,Death Metal,1
Dark Age,Vader,4tszLL7NTfLCoIz39Zsiy1,3xTOH7tS2WIuViDwVC1ohU,0.26,0.786,8,-11.605,0.0698,0.000177,0.485,0.112,0.186,Death Metal,1
Testimony,Vader,4tszLL7NTfLCoIz39Zsiy1,3tzTEKqcNWuX7vm1gPEpYR,0.223,0.64,11,-12.617,0.0522,8.54e-06,0.789,0.091,0.0518,Death Metal,1
Lack of Comprehension,Death,4tszLL7NTfLCoIz39Zsiy1,1OePro13vwG9uI5tdREYLU,0.293,0.954,5,-6.144,0.267,0.00117,0.00276,0.0636,0.151,Death Metal,1
Cromlech - Studio,Darkthrone,4tszLL7NTfLCoIz39Zsiy1,7bTxVZKtDkOX95Q3UlSMwh,0.166,0.887,4,-9.109,0.106,3.02e-06,0.922,0.118,0.2,Death Metal,1
M.S. Bismark,Asphyx,4tszLL7NTfLCoIz39Zsiy1,4hC7Sl95ZNteCDGmHWCZCL,0.268,0.919,9,-8.468,0.0744,3.97e-05,0.862,0.214,0.168,Death Metal,1
The Krusher,Asphyx,4tszLL7NTfLCoIz39Zsiy1,6YE7EUgXnpK5wgWy9mGPRX,0.207,0.967,9,-9.437,0.118,0.000114,0.916,0.212,0.13,Death Metal,1
Barra Edinazzu,Nile,4tszLL7NTfLCoIz39Zsiy1,0qzmXZxtu69FoL1yz3dhsb,0.223,0.938,2,-7.591,0.136,1.98e-06,0.738,0.0768,0.066,Death Metal,1
Die Rache Krieg Lied Der Assyriche,Nile,4tszLL7NTfLCoIz39Zsiy1,4KaqmYXcjuaMH2zQW5BIFx,0.515,0.96,7,-10.01,0.0866,0.463,0.0853,0.105,0.0353,Death Metal,1
Twisted Mass of Burnt Decay,Autopsy,4tszLL7NTfLCoIz39Zsiy1,4uDxt27CET6uPGg128m5Nu,0.172,0.984,8,-5.575,0.113,0.117,0.71,0.407,0.0964,Death Metal,1
Earthly Love,Gorguts,4tszLL7NTfLCoIz39Zsiy1,2OajMeeRzF8erGYrJf32Sr,0.185,0.996,9,-2.001,0.178,2.01e-05,0.29,0.306,0.0389,Death Metal,1
Nostalgia,Gorguts,4tszLL7NTfLCoIz39Zsiy1,7xAqgH0tsSbiV4wi5zExdo,0.177,0.99,10,-2.213,0.1,6.33e-06,0.157,0.162,0.0513,Death Metal,1
Soon To Be Dead,Dismember,4tszLL7NTfLCoIz39Zsiy1,6isfIYVIGfIgoL6II5GbIq,0.271,0.962,1,-5.103,0.136,1.16e-06,0.851,0.41,0.174,Death Metal,1
Oblivious to Evil,Deicide,4tszLL7NTfLCoIz39Zsiy1,2C3W424vvtwNPVA2o2aJXe,0.342,0.98,11,-7.412,0.17,0.000163,0.0246,0.117,0.115,Death Metal,1
Brainstorm,Morbid Angel,4tszLL7NTfLCoIz39Zsiy1,0dayxk3bqrlkXaWtm5dRgJ,0.354,0.906,11,-8.482,0.0653,0.000261,4.57e-05,0.198,0.707,Death Metal,1
When Life Has Ceased,Entombed,4tszLL7NTfLCoIz39Zsiy1,3cmEh49U5WRfPcFipIu7LY,0.183,0.986,1,-8.044,0.102,1.19e-06,0.895,0.248,0.178,Death Metal,1
Morbid Devourment,Entombed,4tszLL7NTfLCoIz39Zsiy1,2CvtsZt7wGW1iIFniV5CAw,0.191,0.961,6,-7.339,0.106,1.07e-06,0.886,0.266,0.29,Death Metal,1
Incarnated Solvent Abuse,Carcass,4tszLL7NTfLCoIz39Zsiy1,2pl6gnxrcbSxjxhAZgecZq,0.258,0.945,6,-5.505,0.202,2.5e-05,0.226,0.0971,0.294,Death Metal,1
Corporal Jigsore Quandary,Carcass,4tszLL7NTfLCoIz39Zsiy1,4sEDY5mo2Zdq9Dz8s0LE6x,0.27,0.969,11,-4.801,0.205,4.76e-06,0.434,0.0712,0.16,Death Metal,1
Staring Through The Eyes Of The Dead,Cannibal Corpse,4tszLL7NTfLCoIz39Zsiy1,4WZuTswubOiMnVt1rlG6sL,0.26,0.977,7,-7.414,0.12,5.16e-06,0.877,0.173,0.0732,Death Metal,1
Lamberto Quintero,Los Cadetes De Linares,1oUgBxHbwjbscgj0vOWkJY,77TA2TMxXMRRAKL64m7Epq,0.708,0.641,8,-5.756,0.0799,0.489,6.48e-05,0.0486,0.847,Corridos para Pistear,0
Chuy y Mauricio,Los Invasores De Nuevo León,1oUgBxHbwjbscgj0vOWkJY,36Ni5Z0OOmiDnOTIo4aJde,0.611,0.542,7,-6.392,0.121,0.564,0.0,0.0496,0.756,Corridos para Pistear,0
A Mis Enemigos,Valentín Elizalde,1oUgBxHbwjbscgj0vOWkJY,6GjRzfOLFIKy3BPKoIchX3,0.819,0.485,3,-5.055,0.0476,0.752,3.48e-05,0.101,0.971,Corridos para Pistear,0
Los Dos Amigos,Los Cadetes De Linares,1oUgBxHbwjbscgj0vOWkJY,6V6lgegjsKlcbBcJWmIz2S,0.625,0.459,8,-4.83,0.0352,0.748,6.88e-05,0.0697,0.842,Corridos para Pistear,0
Las Tres Tumbas,Los Cadetes De Linares,1oUgBxHbwjbscgj0vOWkJY,3HCd4oEcqBbgqYQHEAIptu,0.771,0.371,10,-7.618,0.0384,0.74,1.97e-06,0.0809,0.887,Corridos para Pistear,0
No Hay Novedad,Los Cadetes De Linares,1oUgBxHbwjbscgj0vOWkJY,1cvuESXANPuTV27IFPRtPu,0.517,0.433,8,-8.817,0.0655,0.574,0.0,0.121,0.89,Corridos para Pistear,0
Una Pagina Mas,Los Cadetes De Linares,1oUgBxHbwjbscgj0vOWkJY,0vjefNvtMdFmw7LOBA2NOp,0.626,0.578,8,-5.92,0.0271,0.451,0.0,0.17,0.728,Corridos para Pistear,0
Mi Casa Nueva,Los Invasores De Nuevo León,1oUgBxHbwjbscgj0vOWkJY,0YqxST7jMa8B4Ecr1675u6,0.865,0.531,8,-12.379,0.366,0.208,0.000234,0.103,0.932,Corridos para Pistear,0
Mis Tres Animales,Los Tucanes De Tijuana,1oUgBxHbwjbscgj0vOWkJY,3bDjUO2LwwEOZsTQotZ1in,0.852,0.719,9,-5.15,0.0459,0.145,0.0,0.385,0.961,Corridos para Pistear,0
Si Yo Fuera Ladrón,El Chapo De Sinaloa,1oUgBxHbwjbscgj0vOWkJY,1tFespnE7zi4m6B9SxTxrT,0.744,0.593,7,-3.051,0.0395,0.667,4.13e-06,0.288,0.872,Corridos para Pistear,0
Pedro Y Pablo,Los Tigres Del Norte,1oUgBxHbwjbscgj0vOWkJY,5XgIkYlSVby03NmqREd5Sf,0.86,0.444,0,-9.294,0.151,0.454,0.0,0.0347,0.957,Corridos para Pistear,0
La Caspa Del Diablo,Los Originales De San Juan,1oUgBxHbwjbscgj0vOWkJY,2n4F4KH34FujRuaNmFILv7,0.77,0.773,7,-5.743,0.223,0.358,0.0,0.0478,0.827,Corridos para Pistear,0
Billete Grande (En Vivo),Fuerza Regida,37i9dQZF1DX2shzuwwKw0y,3XfUFGzbr0LmwFVoLXd9cO,0.751,0.601,5,-5.912,0.0828,0.533,0.0,0.377,0.56,Corridos Perrones,0
Equipo RR,El Fantasma,37i9dQZF1DX2shzuwwKw0y,01OAhZvrPcUBko04aEy1Hh,0.755,0.55,7,-6.102,0.107,0.618,2.66e-06,0.0868,0.926,Corridos Perrones,0
El Rescate,Grupo Marca Registrada,37i9dQZF1DX2shzuwwKw0y,4w273WCBXwM4P3jTX5HkB2,0.794,0.594,7,-8.698,0.139,0.283,0.000381,0.109,0.637,Corridos Perrones,0
Siempre Pendientes,Peso Pluma,37i9dQZF1DX2shzuwwKw0y,5PfFHceiEv61KldMOuVrv8,0.774,0.748,0,-7.086,0.0352,0.331,0.0057,0.126,0.714,Corridos Perrones,0
Ni Diablo Ni Santo,Julión Álvarez y su Norteño Banda,37i9dQZF1DX2shzuwwKw0y,2OmVUVVx3pWjNWHxgbliCe,0.833,0.608,5,-4.804,0.0824,0.439,0.0,0.296,0.965,Corridos Perrones,0
El Buho,Luis R Conriquez,37i9dQZF1DX2shzuwwKw0y,1quaoU1wjFHLkDXC3bNghk,0.917,0.54,0,-6.27,0.0578,0.702,0.0,0.0753,0.935,Corridos Perrones,0
El Doctor,Grupo Marca Registrada,37i9dQZF1DX2shzuwwKw0y,2g12ZAzSIybDe6QC3w9DYl,0.864,0.765,8,-3.604,0.11,0.432,0.0,0.386,0.724,Corridos Perrones,0
"La Muchacha del Salado ""la Nicholette"" - En Vivo",Grupo Arriesgado,37i9dQZF1DX2shzuwwKw0y,1CIm69POXMEVdDhT1tmE2I,0.597,0.74,10,-7.614,0.282,0.177,0.00024,0.421,0.883,Corridos Perrones,0
Un Suspiró,JR Torres,37i9dQZF1DX2shzuwwKw0y,3nD8VUJphfkoxSjy4lmeP1,0.821,0.822,2,-5.565,0.0424,0.0884,2.02e-06,0.026,0.955,Corridos Perrones,0
El Gabito,Gerardo Ortiz,37i9dQZF1DX2shzuwwKw0y,4irQHeQLap1F8Roqj3xJXW,0.689,0.811,11,-2.499,0.0399,0.362,0.0,0.353,0.91,Corridos Perrones,0
Me Acostumbre A Lo Bueno,Fuerza Regida,37i9dQZF1DX2shzuwwKw0y,1hHnCReCPe1FUkGLTeuCaC,0.715,0.739,6,-3.779,0.041,0.578,0.0,0.0887,0.963,Corridos Perrones,0
Fumando Mota,Los Lara,37i9dQZF1DX2shzuwwKw0y,2ytQws1jfyFcY2K2MDUfzd,0.599,0.499,7,-6.549,0.0685,0.49,1.64e-06,0.0897,0.562,Corridos Perrones,0
Fuga Pa Cali 2,Grupo Los de la O,37i9dQZF1DX2shzuwwKw0y,5IdyvWCaUa7AgTxMsFj0wB,0.743,0.89,7,-5.451,0.0837,0.366,0.0,0.0966,0.809,Corridos Perrones,0
Desde Morro,Justin Morales,37i9dQZF1DX2shzuwwKw0y,5u6lAvdS8mmHHTHQlC3TtN,0.79,0.688,2,-5.476,0.0319,0.0994,0.0,0.111,0.816,Corridos Perrones,0
Me Metí En El Ruedo,Luis R Conriquez,37i9dQZF1DX2shzuwwKw0y,7KNSQcLwrl3bNEuV1OVHtv,0.805,0.614,9,-6.845,0.137,0.615,0.0,0.0915,0.633,Corridos Perrones,0
Señor Miedo,Fuerza Regida,37i9dQZF1DX2shzuwwKw0y,1FnswOpXkrROzW2mFCF1BE,0.648,0.746,8,-5.11,0.0924,0.459,0.0,0.0918,0.908,Corridos Perrones,0
Por Clave el 13,Betillo Guerrero,37i9dQZF1DX2shzuwwKw0y,5xwP3VbM3eBKOeFF3fwn6Z,0.786,0.67,7,-4.086,0.0389,0.787,1.04e-05,0.0357,0.973,Corridos Perrones,0
Aerolínea Carrillo,T3R Elemento,37i9dQZF1DX2shzuwwKw0y,0xYTyyfV767E2Vn3hz56kL,0.669,0.561,1,-6.613,0.0318,0.337,0.0,0.198,0.867,Corridos Perrones,0
